Round,Match_ID,Team_A,Team_B
1,1,M5 + F1,M9 + F2
1,2,M0 + F4,M7 + F7
1,3,M3 + F7,M9 + F3
1,4,M4 + F6,M6 + F8
1,5,M1 + F9,M8 + F7
2,6,M1 + F1,M7 + F4
2,7,M4 + F8,M8 + F0
2,8,M2 + F9,M3 + F0
2,9,M6 + F6,M9 + F5
2,10,M1 + F7,M5 + F2
3,11,M2 + F0,M6 + F7
3,12,M3 + F1,M8 + F5
3,13,M0 + F2,M2 + F8
3,14,M7 + F3,M9 + F6
3,15,M1 + F4,M4 + F9
4,16,M6 + F0,M8 + F2
4,17,M1 + F6,M2 + F1
4,18,M0 + F3,M4 + F5
4,19,M3 + F9,M5 + F5
4,20,M8 + F8,M9 + F7
5,21,M0 + F0,M9 + F4
5,22,M2 + F7,M4 + F1
5,23,M5 + F4,M8 + F6
5,24,M3 + F5,M7 + F8
5,25,M1 + F3,M6 + F9
6,26,M1 + F5,M9 + F0
6,27,M0 + F1,M6 + F3
6,28,M3 + F2,M4 + F4
6,29,M2 + F6,M7 + F9
6,30,M0 + F8,M5 + F9
7,31,M1 + F0,M3 + F3
7,32,M6 + F2,M7 + F6
7,33,M0 + F9,M8 + F1
7,34,M4 + F7,M7 + F5
7,35,M2 + F3,M5 + F8
8,36,M5 + F0,M7 + F1
8,37,M5 + F3,M6 + F4
8,38,M0 + F7,M3 + F6
8,39,M4 + F2,M9 + F9
8,40,M2 + F5,M8 + F4
9,41,M4 + F0,M5 + F6
9,42,M7 + F2,M8 + F3
9,43,M0 + F5,M1 + F2
9,44,M3 + F8,M6 + F1
9,45,M2 + F4,M9 + F8
